is_number,year,title,revision,section,scope,key_requirements,reference
IS 383 : 1970,1970,COARSE AND FINE AGGREGATES FROM NATURAL SOURCES FOR CONCRETE,Second Revision,Cement and Concrete,"Requirements for aggregates, crushed percent for concrete for wearing surfaces (such as or uncrushed, derived from natural sources for use in runways and roads) and 45 percent for other concrete. the production of structural concrete including mass concrete works. 2.4 Aggregate impact value (alternative to 2.3) shall not exceed 30 percent by weight for concrere for wearing surface and 45 percent by weight for other concrete.","1. Scope — Requirements for aggregates, crushed percent for concrete for wearing surfaces (such as | or uncrushed, derived from natural sources for use in runways and roads) and 45 percent for other concrete. | concrete works. 2.4 Aggregate impact value (alternative to 2.3) shall | not exceed 30 percent by weight for concrere for wearing | surface and 45 percent by weight for other concrete. | 2.5 Aggregate abrasion value shall not exceed 30 | 2.1 Aggregates shall consist of naturally occurring percent for concrete for wearing surfaces and 50 percent | 2.3 Aggregate crushing value shall not exceed 30 table: | IS Sieve Percentage Passing for Single-Sized Percentage Passing for Graded | 63 mm 40 mm 20 mm 16 mm 12.5 mm 10 mm 40 mm 20 mm 16 mm 12.5 mm | 80 mm 100 - - - - - 100 - - - | 63 mm 85 to 100 100 - - - - - - - -",
IS 2116 : 1980,1980,SAND FOR MASONRY MORTARS,First Revison,Cement and Concrete,"Requirements of naturally occurring 2.2 Deleterious Material — The sand shall not contain sands, crushed stone sands and crushed gravel sands any harmful impurities such as iron pyrites, alkalis, salts, used in mortars for construction of masonry. coal or other organic impurities, mica, shale or similar laminated materials, soft fragments, sea shells in such","2.1 General — The sand shall be hard, durable, clean 2.3 Limits of Deleterious Material — The maximum | shall not contain the amount of clay, silt and fine dust in the sand shall not exceed the following limits: | 1) In natural sand or crushed gravel sand Not more than 5 percent by mass | 2) In crushed stone sand Not more than 5 percent by mass | IS Sieve Designation Percentage Passing by Mass | 4.75 mm 100 | 2.36 mm 90 to 100 | 1.18 mm 70 to 100","For detailed information, refer to IS 2116:1980 Specification for sand for masonry mortars (first revision)."
IS 9142 : 1979,1979,ARTIFICIAL LIGHTWEIGHT AGGREGATES FOR CONCRETE MASONRY UNITS,,Cement and Concrete,"Requirements of artificial lightweight that produce a colour darker than the standard colour aggregates, such as foamed blast furnace slag, bloated shall be rejected, unless it can be demonstrated that the clay aggregate, sintered fly ash aggregate and cinder discolouration is due to small quantities of materials not aggregate intended for use in concrete masonry units in harmful to the concrete which prime consideration is lightness in mass. 2.4.2 Clay Lumps — Shall not exceed 2 percent by dry mass.","2.4.2 Clay Lumps — Shall not exceed 2 percent by dry | 2.1 Grading — The grading of the aggregate, that is, gates except cinder aggregates shall not exceed 4 per- | combined aggregate shall not exceed 1100 kg/m3. | 2.5.1 Drying Shrinkage — Shall not exceed 0.10 | 2.3 Uniformity of Mass — The bulk density of succes- percent. | by more than 10 percent from that of the sample 2.5.2 Sulphate Content — Shall not be more than one | submitted for acceptance tests. percent when expressed as sulphuric anhydride (SO3) | Sl No. Size Percentages (By Mass) Passing IS Sieves | mm mm mm mm mm mm microns | (12.5 to 4.75 mm) 100 90-100 40-80 0-20 0-10 — — | (10 to 2.36 mm) — 100 80-100 5-40 0-20 — —",
IS 455 : 1989,1989,PORTLAND SLAG CEMENT,Fourth Revison,Cement and Concrete,Covers the manufacture and chemical and 3.2 Soundness — Expansion of unaerated sample physical requirements for Portland slag cement. (i) not more than 10 mm by 'Le Chateliers' method,"(i) not more than 10 mm by 'Le Chateliers' method | 2. Chemical Requirement (ii) not more than 0.8 percent by autoclave method | Percent, Max 3.3 Setting Time – | a) Initial setting time Not less than | b) Final setting time Not more than | Notes1—Total chloride content in cement shall not a) 72 ± 1 h Not less than 16 MPa | exceed 0.05 percent by mass for cement used in | prestressed concrete structures and long span reinforced b) 168 ± 2 h Not less than 22 MPa | IS 12423:1988.)* c) 672 ± 4 h Not less than 33 MPa | 50 kgs or 25 kgs net or in builk with tolerances specified | 3.1 Fineness — Specific surface , not less than","For detailed information, refer to IS 455:1989."
IS 3466 : 1988,1988,MASONRY CEMENT,Second Revision,Cement and Concrete,"Requirements for masonry cement to be 2. Physical Requirements — See TABLE 1. used for all general purposes where mortars for masonry are required. Masonry cement is, however, not intended 3. Delivery — Packed in specified bags of 50 kg or 25 for use in structural concrete, for flooring and foundation kg net or in bulk with tolerance as given in the standard. work or for reinforced and prestressed concrete works.","are required. Masonry cement is, however, not intended 3. Delivery — Packed in specified bags of 50 kg or 25 | for use in structural concrete, for flooring and foundation kg net or in bulk with tolerance as given in the standard. | i) Fineness— Residue on 45-micron IS Sieve, Max percent (by wet sieving) 15 | a) Le- Chatelier Max 10 mm | b) Autoclave expansion, Max 1 percent | iv) Compressive Strength—Average compressive strength of not less than 3 | mortar cubes of 50 mm size, composed of 1 part masonry cement | 7 days 2.5 MPa | 28 days 5 MPa | v) Air Content—Air content of mortar composed of 1 part masonry coement and 6 percent | vi) Water Retention— Flow after suction of mortar composed of 1 part cement 60 percent of",
IS 6452 : 1989,1989,HIGH ALUMINA CEMENT FOR STRUCTURAL USE,First Revision,Cement and Concrete,Manufacture of high alumina cement 2.2 Fineness — Specific surface not less than (HAC) and specific requirements for its use as a 225 m2/kg structural building material in the colder regions of our country (continuously 18°C and below). Its use as a 2.3 Soundness — Expansion not more than 5 mm refractory cement is not covered. (quantity of mixing water shall be 22 percent of cement by mass).,1. Scope —Manufacture of high alumina cement 2.2 Fineness — Specific surface not less than | (HAC) and specific requirements for its use as a 225 m2/kg | country (continuously 18°C and below). Its use as a 2.3 Soundness — Expansion not more than 5 mm | refractory cement is not covered. (quantity of mixing water shall be 22 percent of cement | regions it may find use as a structural material due to high 2.4 Setting Time — Initial not less than 30 minutes | early strength development. Following restrictions shall be and final not more than 10 hours. | b) Accelerators like calcium chloride shall not be a) At 24 hours not less than 30 MPa | shall be avoided. b) At 72 ± 1 hours not less than 35 MPa | d) Shall not be mixed with other types of cement. 3. Delivery — Packed in specified bags of 50 kg or | 2. Requirements 25 kg net or in bulk with tolerances as given in the | 2.1. Total Alumina Content (Al2O3) — Not less than 32,
IS 6909 : 1990,1990,SUPERSULPHATED CEMENT,First Revision,Cement and Concrete,"Requirements for composition, Sulphuric anhydride 6 percent, Min manufacture and testing of supersulphated cement Sulphide sulphur 1.5 percent, Max (SSC). 4. Physical Requirements","1. Scope—Requirements for composition, Sulphuric anhydride 6 percent, Min | Sulphide sulphur 1.5 percent, Max | resist the attack by aggressive water, reinforced concrete surface) of not less than 400 m2/kg. | 4.2 Soundness — Expansion not more than 5 mm by Le | or weak solutions of mineral acids. It has been used for 4.3 Setting Time — Initial setting time: Not less than 30 | the underside of bridges over railways and for concrete minutes, final setting time: not more than 10 hour. | conditions has also been re-commended, provided the 4.4 Compresssive Strength — | as a general purpose cement can be made with adequate a) 72 1 hours not less than 15 MPa | precautions, it is not recommended for producing steam- | cured products. Production of this cement will also result b) 168 2 hours not less than 22 MPa | by- product of steel in the country. c) 672 4 hours not less than 30 MPa | 50 kg or 25 kg net or in bulk with tolerances specified in",
IS 8041 : 1990,1990,RAPID HARDENING PORTLAND CEMENT,Second Revision,Cement and Concrete,,1. Scope Not more than 10 mm ('Le Chatelier’ method). | Not more than 0.8 percent (autoclave). | in IS 269:1989*. a) 24 hours ± 30 Not less than 16 MPa | 3. Physical Requirements b) 72 ± 1 hours Not less than 27 MPa | 4 Delivery — Packed in specified bags of 50 kg or | 25 kg net or in bulk with tolerances specified in the,
IS 8042 : 1989,1989,WHITE PORTLAND CEMENT,Second Revision,Cement and Concrete,,"than 90 percent of those specified for 33 grade ordinary | structural use. It is made from raw materials containing very test specified shall not be less than 70 percent. | 2. Chemical Reqrirements — See Table 1. 5. Delivery— Packed in specified bags of 50 kg, | 10 kg, 5 kg, 2 kg or 1 kg net or in bulk subject to tolerances | i) Ratio of percentages of lime to percentage of Not greater than 1.02 | silica, alumina and iron oxide and not less than 0.66 | ii) Iron oxide, percent by mass Not more than 1.0 percent | iii) Insoluble residue, percent by mass Not more than 2.0 percent | iv) Magenesisa, percent by mass Not more than 6 percent | v) Total sulphur content calculated as Not more than 3.5 percent | sulphuric anhydride (SO3), percent by mass",
IS 8043 : 1991,1991,HYDROPHOBIC PORTLAND CEMENT,Second Revision,Cement and Concrete,,clinker with certain hydrophobic agents which will impart to 3.2 Soundness and Setting Time — Shall be as laid down | place. Hydrophobic cement shall not be confused with water a) 72 ± 1 hours Not less than 15.69 MPa | b) 168 ± 2 hours Not less than 21.57 MPa | c) 672 ± 4 hours Not less than 30.40 MPa | IS 269:1989*. 4. Delivery — Packed in specified bags of 50 kg or | 25 kg net subject to tolerances specified in the standard.,
